NEW REGIONS;NOMDEP;Date retrait appellation par Haut Conseil;DATE APPELLATION;ID MUSEE;NOM DU MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0105302;Musée Départemental des Pays De l'Ain;34, rue du Général Delestraint;01000;BOURG-EN-BRESSE;0474321060;0474326653;www.musees.ain.fr;;;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0105301;Musée du Brou;"Monastère Royal de Brou
63, Boulevard de Brou";01000;BOURG-EN-BRESSE;0474228383;0474247670;www.bourgenbresse.fr/Vie-municipale/;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert tous les jours du 1er octobre au 31 mars de 9h à 12h et de 14h à 17h, du 1er avril au 30 juin de 9h à 12h30 et de 14h à 18h, du 1er juillet au 30 septembre de 9h à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0106401;Musée de la Société d'Histoire et d'Archéologie;Mairie;01470;BRIORD;0474398325;0474398325;;;Ouvert le jeudi de 14h à 18h de mai à septembre;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0119201;Musée Archéologique;Place de l'Eglise;01580;IZERNORE;0474492042;0474492042;www.archeologie-izernore.com;Jours fériés, et fermeture exceptionnelle;Ouvert de septembre à mai du mercredi au vendredi de 9h à 12h et de 14h à 17h, et de juin à août du mardi au samedi de 9h à 12h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0121801;Musée du Bugey-Valmorey;Maison Renaissance;01260;LOCHIEU;0479875223;0479875643;www.musees.ain.fr;2 novembre à mars pour les individuels;Ouvert du 1er avril au 1er novembre jeudi au lundi de 10h à 12h30 et de 13h30 à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0126901;Musée de la Résistance et de la Déportation de l'Ain;3, Montée de l'Abbaye;01130;NANTUA;0474750750;0474752758;www.musees.ain.fr;1er mai,  lundi de la Pentecôte, 1er novembre;Ouvert du 1er mars au 15 novembre, du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h00;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0128301;Musée du Peigne et de la Plasturgie;"Centre Culturel Aragon
Place Georges Pompidou";01100;OYONNAX;0474819682;0474819686;Site de la ville : www.ville-oyonnax.fr/culture/museepeigneetplast.php;Janvier et jours fériés;Ouvert d'octobre à juin du mardi au samedi de 14h à 18h et le premier dimanche de chaque mois de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0129001;Musée du Vieux Pérouges;"Rue des Princes
Cité médiévale";01800;PEROUGES;0474610088;0474347790;www.ostelleriedeperouges.com;Novembre à Avril;Ouvert de 10h à 12h et de 14h à 18h tous les jours de mai à septembre et le week-end de mars à octobre;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0130501;Musée Chintreuil;"Hôtel de Ville
66, Rue Maréchal de Lattre de Tassigny";01190;PONT-DE-VAUX;0385514565;0385514565;www.musee-chintreuil.com;;Ouvert d'avril à novembre du mercredi au lundi de 14h à 18h. Sur rendez-vous pour les groupes;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0134301;Musée de la Bresse - Domaine des Planons;"Domaine des Planons
Hameau de la Mulatière";01380;SAINT-CYR-SUR-MENTHON;0385363122;0385363730;www.musees.ain.fr;;Ouvert du 1er mars au 15 novembre du mercredi au lundi de 10h à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0138301;Musée Louis Jourdan;"Mairie
Place Louis Jourdan";01240;SAINT-PAUL-DE-VARAX;0474425013;0474425613;;Mi septembre à mi mai;Ouvert en mai, juin et septembre les samedis et dimanches de 14h30 à 17h30, et en juillet-août les vendredis, samedis et dimanches de 14h30 à 17h30;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0140701;Musée du Bois;1, Place de la République;01420;SEYSSEL;0450562155;0450592608;;;"Musée fermé pour rénovation
Ouvert lors des JEP de 10h à 12h et de 14h à 18h";
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0113701;Musée Départemental du Revermont;Cuisiat;01370;TREFFORT-CUISIAT;0474513242;0474326652;www.treffort-cuisiat.com/musee.htm;;Ouvert du 1er avril au 1er novembre de 10h à 13h et de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;AIN;;01/02/2003;0144301;Musée de la Dombes;Maison de la Dombes;01330;VILLARS DE LA DOMBES;;;http://www.museedeladombes.fr/;;;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0307401;Musée Rural de la Sologne Bourbonnaise;2, Rue de la Poste;03230;BEAULON;;;;;;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0304801;Musée Charles-Louis Philippe;5, Rue Charles-Louis Philippe;03350;CERILLY;0470675200;0470679401;www.mairie-cerilly.fr;;Ouvert du 1er mai au 30 juin et du 1er septembre au 31 octobre de 15h à 18h, samedi, dimanche et jours fériés  de 15h à 18h, en juillet-août tous les jours de 15h à 18h.;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0311801;Musée Municipal de Gannat;Place Rantian;03800;GANNAT;0470902378;0470901522;http://tourisme-bassin-gannat.com;;Ouvert du 2ème samedi d'avril au dernier dimanche d'octobre du mardi au dimanche de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0318501;Musée des Musiques Populaires - MuPop;3, Rue Notre Dame;03100;MONTLUCON;0470021962;;www.mupop.fr;Janvier, 1er mai, 25 décembre;Ouvert du mardi au dimanche du 1er juin au 31 août de 10h à 19h et du 1er septembre au 31 mai de 14h à 18h;
AUVERGNE-RHÔNE-ALPES;ALLIER;;19/11/2009;0319002;Centre National du Costume de Scène et de la Scénographie;"Quartier Villars
Route de montilly";03000;MOULINS;0470207620;0470342304;www.cncs.fr;25 décembre, 1erjanvier, 1er mai et lors du montage des expositions;Ouvert tous les jours de 10h à 18h, en juillet-août de 10h à 18h30;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0319001;Musée Anne de Beaujeu;5, Place du Colonel Laussedat;03000;MOULINS;0470204847;0470208931;www.mab.allier.fr;1er janvier, 1er mai, 25 décembre;Ouvert de septembre à juin du mardi au samedi de 10h à 12h et de 14h à 18h, dimanches et jours fériés de 14h à 18h. En juillet-août du lundi au samedi de 10h à 12h30 et de 14h à 18h30, dimanches et jours fériés de 14h à 18h30;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0319501;Musée Rieckotter;"Hôtel de Ville
Boulevard des Arène - B.P. 10";03310;NERIS-LES-BAINS;0470034211;0470037999;www.ville-neris-les-bains.fr;;Ouvert d'avril à octobre du mercredi au samedi de 14h30 à 18h, de juin à septembre le dimanche de 14h30 à 17h30, visite guidée le jeudi et le samedi à 16h;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0327501;Musée Municipal de Souvigny;Place Aristide Briand;03210;SOUVIGNY;0470439975;0470436618;site de la ville www.ville-souvigny.com;1er mai, 25 décembre, 1er janvier - Mars;Ouvert du 1er avril au 20 novembre du mercredi au lundi de 9h à 12h et de 14h à 18h, de juin à septembre tous les jours de 9h à 12h et de 14h à 18h, en juillet-août de 9h à 12h et de 13h à 18h;
AUVERGNE-RHÔNE-ALPES;ALLIER;;01/02/2003;0331002;Musée des Arts D'Afrique et D'Asie;11, Rue Mounin;03200;VICHY;0470977640;0470960134;www.musee-aaa.com;;Ouvert du mardi au dimanche de 14h à 18 h de début mai à fin octobre;
