Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,TA_restaurants_curated.Price Range
"",restaurant,91468,48.885787275869,2.3665131382288,Paris,McDonald's,51ee83ff498e9c8ddbc1ff4d,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91468,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91468,$
1 place du Palais Bourbon,restaurant,85216,48.86072436351,2.3186686897069,Paris,Le Bourbon,4b9e2efbf964a52007d036e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85216,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85216,$$ - $$$
1 Rue Faidherbe,restaurant,89636,48.850926142541,2.3843307631948,Paris,Nouille,4f6efbdde4b0f577d359a379,0,Chinese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89636,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89636,$
1 rue Franklin,restaurant,86623,48.858723254153,2.2847470045144,Paris,Le Franklin,4c3218b2213c2d7f94de345d,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86623,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86623,$$ - $$$
1/5 rue du Docteur Gley,restaurant,88156,48.877684927363,2.4100048283468,Paris,Hippopotamus,4dbef86243a1d8504bcb77b7,0,BBQ Joint,http://tour-pedia.org/api/getPlaceDetails?id=88156,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=88156,$$ - $$$
10 Rue Norvins,restaurant,91248,48.886821,2.340565,Paris,Starbucks,51ab1460498e5a9d44773c34,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=91248,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91248,$$ - $$$
10-12 quai de la Seine,restaurant,90788,48.884845189301,2.3720166010284,Paris,Corso,51127989e4b0051ef3c47165,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90788,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90788,$$ - $$$
102 rue de Bercy,restaurant,89466,48.839102776843,2.3804139013884,Paris,Hippopotamus,4f319062e4b040aec975b729,0,BBQ Joint,http://tour-pedia.org/api/getPlaceDetails?id=89466,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89466,$$ - $$$
103 Rue de Charonne,restaurant,86842,48.8544772,2.384529,Paris,Bistrot Beyrouth,4c63d79ade1b2d7fada8e570,0,Middle Eastern Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86842,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86842,$$ - $$$
"104, av d'Italie",restaurant,86998,48.825105,2.357551,Paris,Le Globe,4c84f476ee6fef3b9ec2385c,0,Brewery,http://tour-pedia.org/api/getPlaceDetails?id=86998,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86998,$$ - $$$
106 rue Lecourbe,restaurant,85300,48.842178212608,2.2986230848255,Paris,Les Artisans,4ba4e376f964a52058bf38e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85300,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85300,$$ - $$$
107 Avenue de France,restaurant,84518,48.830055787372,2.3769521713257,Paris,Starbucks,4b6455caf964a5206dab2ae3,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=84518,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84518,$$ - $$$
109 avenue du Maine,restaurant,86572,48.836081,2.323506,Paris,Sakura Ramen,4c2655bc5c5ca593e9fc45fe,0,Ramen /  Noodle House,http://tour-pedia.org/api/getPlaceDetails?id=86572,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86572,$
111 Boulevard Beaumarchais,restaurant,83983,48.860793973154,2.367097735405,Paris,Merci,4b20ecccf964a520653524e3,0,Clothing Store,http://tour-pedia.org/api/getPlaceDetails?id=83983,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83983,$$ - $$$
116 bis Cours de Vincennes,restaurant,91128,48.846713697104,2.4103420288812,Paris,Subway,5184e07f498e1c0b622cbccc,0,Sandwich Place,http://tour-pedia.org/api/getPlaceDetails?id=91128,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91128,$
117 bd Murat,restaurant,90178,48.837548460246,2.2579814423813,Paris,Hoki Sushi,50368065e4b05ec4603afe53,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90178,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90178,$$ - $$$
117 rue d'Avron,restaurant,87311,48.85299119593,2.4075700240054,Paris,Ali Baba,4cc7519cee718cfafdddb03d,0,Turkish Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87311,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87311,$
12 rue de Madagascar,restaurant,87911,48.83528,2.397571,Paris,Chez Sam,4d89d39c4757721e890fa969,0,Snack Place,http://tour-pedia.org/api/getPlaceDetails?id=87911,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87911,$
"129, av de Choisy",restaurant,85189,48.826432,2.359686,Paris,Song Huong,4b9bed4ff964a520c63636e3,0,Vietnamese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85189,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85189,$
13 Boulevard Saint-Michel,restaurant,85634,48.852009021214,2.3435425758362,Paris,Starbucks,4bc0b119461576b0048b7a32,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=85634,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85634,$$ - $$$
13 Rue des Pyramides,restaurant,90157,48.865075871785,2.3329344755102,Paris,Bagelstein,502b6179e4b0f63013ff9578,0,Bagel Shop,http://tour-pedia.org/api/getPlaceDetails?id=90157,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90157,$
131 Avenue Victor Hugo,restaurant,84666,48.86786864145,2.2812689365057,Paris,McDonald's,4b705429f964a52011132de3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84666,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84666,$
